fecha;LTM CI Equity;SQM/B CI Equity;COPEC CI Equity;SALFACORP CI Equity;VAPORES CI Equity;CAP CI Equity;BSAN CI Equity;CMPC CI Equity;FALAB CI Equity
12-03-2019;7605;26101;8980;976,86;21,64;7600;51,5;2369;5161
13-03-2019;7900;26880;8890;976,78;21,8;7811;51,71;2349,9;5100,1
14-03-2019;7820;26989;8830;975,01;21,8;7830;51,9;2327,9;5022
15-03-2019;7780;27201;8850;962;21,98;7895;52,5;2338,4;5148
18-03-2019;7730;26600;8850;961,75;22,1;8033;52,2;2350;5120
19-03-2019;7799,8;26600;8800;960,85;22,08;8000;51,85;2320;5100
20-03-2019;7641;25810;8650;984,12;21,77;7699;51,36;2270;5050
21-03-2019;7589;26250;8700;959,51;21,67;7683,8;50,99;2288;5089
22-03-2019;7348;25935;8648;952,2;21,9;7601;50,84;2270;4950
25-03-2019;7292;25965;8598;949,94;21,96;7816,5;50,18;2258;5018
26-03-2019;7255;25648;8630;951,57;22,12;7775;49,95;2278;4950
27-03-2019;7110;25606;8600;913,61;22,4;7721;50;2300;4921
28-03-2019;7080;25850;8600;928,51;22,62;7930,5;50,3;2344;5045
29-03-2019;7235;26149;8639,9;925,66;22,88;8080;51,19;2400;5060
01-04-2019;7251;26150;8732;934,24;23;8163,1;51,02;2380;5040
02-04-2019;7222;25684;8580;925,27;22,9;8135;50,46;2318;5008
03-04-2019;7399,6;25350;8632;912,75;22,7;8070;50,95;2322;5020
04-04-2019;7400;25725;8762,5;930;22,8;8050;51,7;2356;5040
05-04-2019;7325;25715;8749,9;922,98;22,69;8000;51,4;2320;5050
08-04-2019;7250;25696;8748;920;22,8;8134,9;51,96;2317;5076
09-04-2019;7270;25580;8799;937,4;22,68;8279;51,16;2312,7;5070
10-04-2019;7345;25590;8700;939,74;22,59;8330;51;2298;5080
11-04-2019;7310;25200;8702;935,77;22,67;8161;50,4;2306,9;5048,9
12-04-2019;7170,9;24815;8676,1;935,46;22,57;8121;50,5;2301;5000,1
15-04-2019;7116;24700;8550;919,23;22,71;8199;50,52;2304;5000
16-04-2019;7230;24834;8599;913,47;22,63;8150;51,15;2292;5040
17-04-2019;7180;25600;8629;917,03;22,79;8245;49,14;2289;5021
18-04-2019;7135;25250;8660;915,56;22,77;8200;48,78;2265;4972,8
19-04-2019;7135;25250;8660;915,56;22,77;8200;48,78;2265;4972,8
22-04-2019;6990;24550;8600,1;912,04;22,4;7930;48,98;2266,8;5009,9
23-04-2019;6980;24350;8585;903,1;22,27;7935;48,98;2225;4984
24-04-2019;6866;24144;8494;903;22,39;7832;48,99;2239,5;4940
25-04-2019;6697;23902;8420;896,06;22,19;7710;48,78;2244,9;4968,9
26-04-2019;6630;24500;8419;895,89;22,02;7770;48,47;2240;4989,8
29-04-2019;6619;24213;8370;889,7;22;7730;48,35;2280;4955
30-04-2019;6717;24149;8500;884,32;21,62;7738;47,6;2279,8;4999,9
01-05-2019;6717;24149;8500;884,32;21,62;7738;47,6;2279,8;4999,9
02-05-2019;6728;24649;8361;866,16;21,37;7685,4;47,54;2206;4940
03-05-2019;6689;24550;8366;860,33;21,17;7660;48,15;2150;4900
06-05-2019;6667;24501;8177;846,72;20,98;7399;48,6;2135;4820
07-05-2019;6500;24095;8050,1;818,71;20,83;7177,1;48,8;2099;4730
08-05-2019;6750;23524;7937;820,23;20,88;7036,1;48,45;2070,4;4758
09-05-2019;6620;23553;8050;823,24;21,3;7070;48,5;2160,1;4708
10-05-2019;6629;23940;7958;826,23;21,16;7101,9;48,65;2155;4670
13-05-2019;6292;23600;7761;802,06;20,84;6810,1;48,1;2085;4680
14-05-2019;6315;23750;7785;830;20,58;6720;48,9;2072;4760
15-05-2019;6274,3;23610;7661;841,12;20;6850;49;2075;4702
